                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 0.6935,                 1.1295,                 1.2781,                0.67656,                0.74317,                 0.7599,                0.67258,                0.48517,                0.80331,                 1.1271,               0.003664,               0.003664,               0.003664
                     67,                0.68857,                 1.1187,                 1.2721,                0.68222,                0.74565,                0.76403,                0.67688,                0.48365,                0.79447,                 1.1254,               0.003565,               0.003565,               0.003565
                     68,                0.68683,                 1.1144,                 1.2735,                0.68502,                0.75158,                0.76832,                0.68117,                0.48196,                0.78555,                 1.1234,               0.003466,               0.003466,               0.003466
                     69,                0.68203,                  1.101,                 1.2669,                0.69141,                0.75315,                0.77256,                0.68547,                0.48053,                 0.7768,                 1.1216,               0.003367,               0.003367,               0.003367
                     70,                0.68482,                  1.092,                 1.2692,                0.69331,                0.75888,                0.77683,                0.68981,                0.47889,                0.76763,                 1.1197,               0.003268,               0.003268,               0.003268
                     71,                0.67738,                 1.0755,                 1.2634,                0.69643,                0.76385,                0.78101,                0.69408,                0.47732,                0.75883,                 1.1179,               0.003169,               0.003169,               0.003169
                     72,                 0.6783,                 1.0785,                 1.2667,                0.70337,                0.76627,                0.78563,                 0.6986,                0.47561,                0.74961,                 1.1159,                0.00307,                0.00307,                0.00307
                     73,                0.67074,                   1.05,                 1.2585,                0.71185,                0.76778,                0.79016,                 0.7031,                0.47387,                0.74062,                 1.1139,               0.002971,               0.002971,               0.002971
                     74,                0.66939,                 1.0346,                 1.2572,                0.71742,                0.76994,                0.79443,                0.70741,                0.47215,                0.73155,                  1.112,               0.002872,               0.002872,               0.002872
                     75,                0.66696,                 1.0258,                 1.2568,                0.72424,                 0.7726,                  0.799,                 0.7123,                 0.4703,                0.72213,                 1.1099,               0.002773,               0.002773,               0.002773
                     76,                 0.6622,                   1.02,                 1.2506,                0.72991,                0.77688,                0.80357,                0.71698,                0.46857,                0.71286,                 1.1079,               0.002674,               0.002674,               0.002674
                     77,                0.66055,                 1.0041,                 1.2501,                0.73201,                0.78264,                0.80818,                0.72173,                 0.4668,                0.70365,                 1.1059,               0.002575,               0.002575,               0.002575
